1976,284,151,Sudan,SUDV,53%
1976,318,280,Zaire,EBOV,88%
1977,1,1,Zaire,EBOV,n/a
1979,34,22,Sudan,SUDV,65%
1989,3,0,Philippines,RESTV,n/a
1990,4,0,USA,RESTV,n/a
1994,52,31,Gabon,EBOV,60%
1995,315,250,Zaire,EBOV,79%
1996,37,21,Gabon,EBOV,57%
1997,60,0,Gabon,EBOV,75%
2000,425,224,Uganda,SUDV,53%
2001,122,96,Gabon,EBOV,79%
2002,143,128,Congo,EBOV,90%
2003,35,29,Congo,EBOV,83%
2004,17,7,Sudan,SUDV,41%
2007,264,187,DR Congo,EBOV,71%
2007,149,37,Uganda,BDBV,25%
2008,6,0,Philippines,RESTV,n/a
2009,32,14,DR Congo,EBOV,45%
2012,24,17,Uganda,SUDV,71%
2012,77,36,DR Congo,BDBV,47%
2014,"2,615","1,427",Guinea,EBOV,64%
